accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.1012,0.2988,0.21499032455767778,50,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1788,0.135572374916733,1,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0728,0.2352,0.17852824742882348,5,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0824,0.2664,0.19293932664635893,20,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.2796,0.20623079116416498,50,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1708,0.1334461991209994,1,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0732,0.246,0.18013648916135983,5,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0776,0.2796,0.19250853303566437,20,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0952,0.2876,0.20819612004272003,50,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.038,0.172,0.12919141636157086,1,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.072,0.2304,0.17303246387425292,5,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0892,0.2804,0.20058688193431531,20,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0988,0.2904,0.20918069934898603,50,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1916,0.14022976374440474,1,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0744,0.2508,0.17989647411720108,5,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.094,0.2804,0.2048283968902632,20,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0936,0.294,0.20806309365676554,50,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.1996,0.14597139290063152,1,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0872,0.2588,0.19067704927491508,5,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0888,0.2696,0.19919619901844451,20,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0992,0.2812,0.20778182361390554,50,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1744,0.1343254406581512,1,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0816,0.2536,0.18742187974203028,5,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0888,0.2848,0.20089370526434774,20,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1028,0.2952,0.2143993460443482,50,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0612,0.1948,0.1520389693702795,1,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0852,0.2716,0.19456907382820157,5,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.09,0.2792,0.20144517579636198,20,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.094,0.2912,0.20695823629265814,50,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0632,0.2012,0.15333371051393677,1,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0664,0.2372,0.16917807936303222,5,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0884,0.2756,0.1990154872380601,20,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0868,0.2728,0.19923794798547675,50,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0496,0.1744,0.13578589240815866,1,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0856,0.2404,0.18555765878875952,5,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0972,0.286,0.20616797280691976,20,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0984,0.2872,0.21019448387517656,50,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0364,0.1496,0.12179973607889728,1,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0748,0.2484,0.18208132513806036,5,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0856,0.2748,0.1976434566183186,20,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.098,0.2872,0.2098790775263479,50,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
