accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0824,0.232,0.18098373721749583,5,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0976,0.2708,0.2027954886401396,20,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0952,0.2968,0.20825484691683968,50,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.1636,0.1325393396327404,1,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0744,0.2644,0.17988790637333965,5,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0948,0.2724,0.20018459877477096,20,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1072,0.298,0.2146092220905122,50,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1768,0.13323034325428992,1,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0648,0.2408,0.17068281664281496,5,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.2816,0.2021623400583611,20,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0892,0.2824,0.20205631865801343,50,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.1796,0.13754164406193745,1,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0768,0.2412,0.17450830198133133,5,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0824,0.2808,0.19426016094051893,20,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1004,0.2968,0.21358461184406052,50,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1636,0.12247027286023508,1,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0676,0.226,0.1669686906578914,5,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.09,0.2696,0.19767320312098038,20,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0916,0.2856,0.20338142543635673,50,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.1736,0.13479646043617455,1,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0676,0.228,0.1694519806543088,5,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0924,0.2636,0.19695761665168196,20,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
