n,variance,init
266,2.767515524801508,Eig|a_-0.2|v_0.1|stdev_0.1
267,2.7620653373010393,Eig|a_-0.2|v_0.1|stdev_0.1
268,2.756626472284394,Eig|a_-0.2|v_0.1|stdev_0.1
269,2.7478010228743712,Eig|a_-0.2|v_0.1|stdev_0.1
270,2.74612694027269,Eig|a_-0.2|v_0.1|stdev_0.1
271,2.74244814456835,Eig|a_-0.2|v_0.1|stdev_0.1
272,2.7295155076584305,Eig|a_-0.2|v_0.1|stdev_0.1
273,2.726642515641528,Eig|a_-0.2|v_0.1|stdev_0.1
274,2.7173379122181864,Eig|a_-0.2|v_0.1|stdev_0.1
275,2.7125628221252587,Eig|a_-0.2|v_0.1|stdev_0.1
276,2.705125310351771,Eig|a_-0.2|v_0.1|stdev_0.1
277,2.6962240774702955,Eig|a_-0.2|v_0.1|stdev_0.1
278,2.690372286609538,Eig|a_-0.2|v_0.1|stdev_0.1
279,2.685852791049456,Eig|a_-0.2|v_0.1|stdev_0.1
280,2.6781499023758624,Eig|a_-0.2|v_0.1|stdev_0.1
281,2.6716267154290323,Eig|a_-0.2|v_0.1|stdev_0.1
282,2.6661786748697405,Eig|a_-0.2|v_0.1|stdev_0.1
283,2.659235650435076,Eig|a_-0.2|v_0.1|stdev_0.1
284,2.656692698455704,Eig|a_-0.2|v_0.1|stdev_0.1
285,2.647938045849294,Eig|a_-0.2|v_0.1|stdev_0.1
286,2.6437313546302934,Eig|a_-0.2|v_0.1|stdev_0.1
287,2.6382816742458917,Eig|a_-0.2|v_0.1|stdev_0.1
288,2.634984786053575,Eig|a_-0.2|v_0.1|stdev_0.1
289,2.6255353522999427,Eig|a_-0.2|v_0.1|stdev_0.1
290,2.621889396064291,Eig|a_-0.2|v_0.1|stdev_0.1
291,2.6134501564928727,Eig|a_-0.2|v_0.1|stdev_0.1
292,2.6052243308496497,Eig|a_-0.2|v_0.1|stdev_0.1
293,2.6028913898024038,Eig|a_-0.2|v_0.1|stdev_0.1
294,2.596746731594533,Eig|a_-0.2|v_0.1|stdev_0.1
295,2.584418202217465,Eig|a_-0.2|v_0.1|stdev_0.1
296,2.579385125189797,Eig|a_-0.2|v_0.1|stdev_0.1
297,2.5703156877791056,Eig|a_-0.2|v_0.1|stdev_0.1
298,2.5640608528458713,Eig|a_-0.2|v_0.1|stdev_0.1
299,2.5588915700261463,Eig|a_-0.2|v_0.1|stdev_0.1
300,2.5575089863478655,Eig|a_-0.2|v_0.1|stdev_0.1
301,2.5477344840547493,Eig|a_-0.2|v_0.1|stdev_0.1
302,2.544442452052046,Eig|a_-0.2|v_0.1|stdev_0.1
303,2.534409720755468,Eig|a_-0.2|v_0.1|stdev_0.1
304,2.5294499517802502,Eig|a_-0.2|v_0.1|stdev_0.1
305,2.52512714737525,Eig|a_-0.2|v_0.1|stdev_0.1
306,2.519778438693408,Eig|a_-0.2|v_0.1|stdev_0.1
307,2.507556320324855,Eig|a_-0.2|v_0.1|stdev_0.1
308,2.5008205143352122,Eig|a_-0.2|v_0.1|stdev_0.1
309,2.494029412455348,Eig|a_-0.2|v_0.1|stdev_0.1
310,2.4862917507818794,Eig|a_-0.2|v_0.1|stdev_0.1
311,2.4860635406292513,Eig|a_-0.2|v_0.1|stdev_0.1
312,2.4806289584311703,Eig|a_-0.2|v_0.1|stdev_0.1
313,2.476042656835156,Eig|a_-0.2|v_0.1|stdev_0.1
314,2.4703348806209737,Eig|a_-0.2|v_0.1|stdev_0.1
315,2.463604935076456,Eig|a_-0.2|v_0.1|stdev_0.1
316,2.4615469253455937,Eig|a_-0.2|v_0.1|stdev_0.1
317,2.4537068664699246,Eig|a_-0.2|v_0.1|stdev_0.1
318,2.4495074588725996,Eig|a_-0.2|v_0.1|stdev_0.1
319,2.4440683589764864,Eig|a_-0.2|v_0.1|stdev_0.1
320,2.4408647265740013,Eig|a_-0.2|v_0.1|stdev_0.1
321,2.433478290610987,Eig|a_-0.2|v_0.1|stdev_0.1
322,2.430140664438743,Eig|a_-0.2|v_0.1|stdev_0.1
323,2.422714661762753,Eig|a_-0.2|v_0.1|stdev_0.1
324,2.403603882608787,Eig|a_-0.2|v_0.1|stdev_0.1
325,2.402920267931728,Eig|a_-0.2|v_0.1|stdev_0.1
326,2.401003766614357,Eig|a_-0.2|v_0.1|stdev_0.1
327,2.396605458252949,Eig|a_-0.2|v_0.1|stdev_0.1
328,2.3927150617427415,Eig|a_-0.2|v_0.1|stdev_0.1
329,2.386509597607646,Eig|a_-0.2|v_0.1|stdev_0.1
330,2.380066821458536,Eig|a_-0.2|v_0.1|stdev_0.1
331,2.373358527323682,Eig|a_-0.2|v_0.1|stdev_0.1
332,2.365015034355014,Eig|a_-0.2|v_0.1|stdev_0.1
333,2.360482649910315,Eig|a_-0.2|v_0.1|stdev_0.1
334,2.351682241169139,Eig|a_-0.2|v_0.1|stdev_0.1
335,2.349383325723112,Eig|a_-0.2|v_0.1|stdev_0.1
336,2.339922485682549,Eig|a_-0.2|v_0.1|stdev_0.1
337,2.3360612338928526,Eig|a_-0.2|v_0.1|stdev_0.1
338,2.33439611058376,Eig|a_-0.2|v_0.1|stdev_0.1
339,2.3260084600493633,Eig|a_-0.2|v_0.1|stdev_0.1
340,2.3190505414404274,Eig|a_-0.2|v_0.1|stdev_0.1
341,2.307214768035922,Eig|a_-0.2|v_0.1|stdev_0.1
342,2.3043308109655434,Eig|a_-0.2|v_0.1|stdev_0.1
343,2.2979396763922577,Eig|a_-0.2|v_0.1|stdev_0.1
344,2.2943145892241725,Eig|a_-0.2|v_0.1|stdev_0.1
345,2.2902164631890556,Eig|a_-0.2|v_0.1|stdev_0.1
346,2.2846300811035674,Eig|a_-0.2|v_0.1|stdev_0.1
347,2.2822419222681902,Eig|a_-0.2|v_0.1|stdev_0.1
348,2.275392143980006,Eig|a_-0.2|v_0.1|stdev_0.1
349,2.270825324267877,Eig|a_-0.2|v_0.1|stdev_0.1
350,2.261598759607786,Eig|a_-0.2|v_0.1|stdev_0.1
351,2.2552951502102934,Eig|a_-0.2|v_0.1|stdev_0.1
352,2.249984259537819,Eig|a_-0.2|v_0.1|stdev_0.1
353,2.247913052159168,Eig|a_-0.2|v_0.1|stdev_0.1
354,2.2386686358609253,Eig|a_-0.2|v_0.1|stdev_0.1
355,2.2338637640970003,Eig|a_-0.2|v_0.1|stdev_0.1
356,2.230072974773471,Eig|a_-0.2|v_0.1|stdev_0.1
357,2.222763381587685,Eig|a_-0.2|v_0.1|stdev_0.1
358,2.2156635266411393,Eig|a_-0.2|v_0.1|stdev_0.1
359,2.213008271138715,Eig|a_-0.2|v_0.1|stdev_0.1
360,2.2079945896572144,Eig|a_-0.2|v_0.1|stdev_0.1
361,2.2046060036724953,Eig|a_-0.2|v_0.1|stdev_0.1
362,2.194505999516759,Eig|a_-0.2|v_0.1|stdev_0.1
363,2.1855219047798187,Eig|a_-0.2|v_0.1|stdev_0.1
364,2.183519464493097,Eig|a_-0.2|v_0.1|stdev_0.1
365,2.1782962672451336,Eig|a_-0.2|v_0.1|stdev_0.1
366,2.1645200927831847,Eig|a_-0.2|v_0.1|stdev_0.1
367,2.160610467102014,Eig|a_-0.2|v_0.1|stdev_0.1
368,2.154922543191955,Eig|a_-0.2|v_0.1|stdev_0.1
369,2.1530869880990116,Eig|a_-0.2|v_0.1|stdev_0.1
370,2.1510846027665256,Eig|a_-0.2|v_0.1|stdev_0.1
371,2.149154266905859,Eig|a_-0.2|v_0.1|stdev_0.1
372,2.1475888027379795,Eig|a_-0.2|v_0.1|stdev_0.1
373,2.142509395267115,Eig|a_-0.2|v_0.1|stdev_0.1
374,2.1341843288481495,Eig|a_-0.2|v_0.1|stdev_0.1
375,2.1275720570514984,Eig|a_-0.2|v_0.1|stdev_0.1
376,2.1213586646788403,Eig|a_-0.2|v_0.1|stdev_0.1
377,2.118166786864277,Eig|a_-0.2|v_0.1|stdev_0.1
378,2.1095371398448997,Eig|a_-0.2|v_0.1|stdev_0.1
379,2.104649041056379,Eig|a_-0.2|v_0.1|stdev_0.1
380,2.1015999143107202,Eig|a_-0.2|v_0.1|stdev_0.1
381,2.0990768035076317,Eig|a_-0.2|v_0.1|stdev_0.1
382,2.0916912762002675,Eig|a_-0.2|v_0.1|stdev_0.1
383,2.087094727962532,Eig|a_-0.2|v_0.1|stdev_0.1
384,2.080367209600833,Eig|a_-0.2|v_0.1|stdev_0.1
385,2.0751878857127037,Eig|a_-0.2|v_0.1|stdev_0.1
386,2.0704790803641373,Eig|a_-0.2|v_0.1|stdev_0.1
387,2.066226538339701,Eig|a_-0.2|v_0.1|stdev_0.1
388,2.0556323151816542,Eig|a_-0.2|v_0.1|stdev_0.1
389,2.05263859922736,Eig|a_-0.2|v_0.1|stdev_0.1
390,2.047484744141434,Eig|a_-0.2|v_0.1|stdev_0.1
391,2.036078178845136,Eig|a_-0.2|v_0.1|stdev_0.1
392,2.0340177038292393,Eig|a_-0.2|v_0.1|stdev_0.1
393,2.0321670244760353,Eig|a_-0.2|v_0.1|stdev_0.1
394,2.026540611944499,Eig|a_-0.2|v_0.1|stdev_0.1
