variance,layer,architecture,task,kind,source,n
0.014359474,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014378922,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014396121,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014412038,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014430742,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014463287,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014463777,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014502333,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014515008,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014532856,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01458045,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014611762,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015311445,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015332485,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015342521,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01610872,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016132547,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016151238,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016182497,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016208377,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01621504,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016267627,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016285572,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016298635,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016308282,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01633418,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01635492,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016391324,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01642568,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016440753,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01648407,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016491568,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01654494,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016593305,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016615044,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016626203,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016643077,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01666706,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016675668,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01670739,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016726417,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016762285,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016084678,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016060982,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01603149,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016008534,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015386434,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015396475,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015428444,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015433895,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015452684,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015473834,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015502246,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015525719,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015551972,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015583791,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
